Unnamed: 0,Formatted_Date,Summary,Precip_Type,Temperature,Apparent_Temperature,Humidity,Wind_Speed,Wind_Bearing,Visibility,Loud_Cover,Pressure,Daily_Summary
87206,2015-09-19 17:00:00.000 +0200,Mostly Cloudy,rain,28.122222222222224,28.827777777777776,0.53,13.3469,304.0,15.552600000000002,0.0,1014.03,Partly cloudy throughout the day.
33421,2009-11-29 14:00:00.000 +0100,Mostly Cloudy,rain,10.0,7.98888888888889,0.83,14.49,150.0,9.982,0.0,1017.9,Foggy starting overnight continuing until morning.
6807,2006-11-18 16:00:00.000 +0100,Mostly Cloudy,rain,14.400000000000002,14.400000000000002,0.65,11.0446,144.0,9.6278,0.0,1022.0,Partly cloudy starting in the morning.
37340,2010-02-10 20:00:00.000 +0100,Overcast,rain,1.0166666666666655,-2.722222222222221,0.85,12.8156,40.0,8.05,0.0,999.83,Foggy overnight.
3016,2006-01-14 16:00:00.000 +0100,Mostly Cloudy,snow,-0.1222222222222216,-2.6722222222222216,0.82,7.422100000000001,98.0,7.550900000000001,0.0,1037.03,Mostly cloudy starting overnight continuing until evening.
54286,2012-12-17 22:00:00.000 +0100,Mostly Cloudy,rain,2.0222222222222226,-0.1499999999999997,0.93,7.3738,89.0,13.7977,0.0,1012.54,Foggy overnight.
27660,2009-08-04 12:00:00.000 +0200,Mostly Cloudy,rain,26.11111111111111,26.11111111111111,0.5,12.88,230.0,9.982,0.0,1012.0,Mostly cloudy starting in the morning.
6108,2006-05-02 13:00:00.000 +0200,Mostly Cloudy,rain,16.016666666666666,16.016666666666666,0.67,15.3111,150.0,11.27,0.0,1021.52,Mostly cloudy throughout the day.
95359,2016-10-23 11:00:00.000 +0200,Mostly Cloudy,,9.888888888888888,8.983333333333334,0.79,7.550900000000001,141.0,4.508,0.0,1021.02,Foggy starting overnight continuing until morning.
85743,2015-11-19 19:00:00.000 +0100,Partly Cloudy,rain,8.383333333333335,8.383333333333335,0.83,0.6118,207.0,8.420300000000001,0.0,1018.52,Partly cloudy overnight.
38539,2010-01-30 19:00:00.000 +0100,Overcast,rain,1.033333333333333,-1.4611111111111106,0.86,7.856800000000001,36.0,8.0983,0.0,994.54,Overcast throughout the day and breezy in the morning.
4472,2006-06-13 08:00:00.000 +0200,Mostly Cloudy,rain,18.649999999999995,18.649999999999995,0.66,13.3469,19.0,10.3523,0.0,1022.51,Mostly cloudy throughout the day.
46065,2011-02-01 09:00:00.000 +0100,Overcast,snow,-6.111111111111111,-10.211111111111112,1.0,8.8711,131.0,3.4937,0.0,1030.3,Foggy in the morning.
67978,2013-11-01 11:00:00.000 +0100,Overcast,rain,14.005555555555556,14.005555555555556,0.76,15.633100000000002,160.0,9.982,0.0,1024.16,Foggy in the evening.
83359,2015-06-12 10:00:00.000 +0200,Partly Cloudy,rain,27.800000000000004,28.65555555555555,0.55,9.5312,122.0,16.1,0.0,1017.28,Partly cloudy throughout the day.
95581,2016-10-31 16:00:00.000 +0100,Mostly Cloudy,,11.755555555555553,11.755555555555553,0.74,8.3237,294.0,0.0,0.0,1021.75,Mostly cloudy starting in the afternoon.
71799,2014-12-16 15:00:00.000 +0100,Clear,rain,7.750000000000002,7.750000000000002,0.83,4.7495,126.0,8.05,0.0,0.0,Mostly cloudy until afternoon.
56840,2012-07-31 08:00:00.000 +0200,Partly Cloudy,rain,22.64444444444445,22.64444444444445,0.71,14.0553,18.0,9.982,0.0,1017.15,Partly cloudy until night.
81497,2015-02-23 20:00:00.000 +0100,Foggy,rain,4.21111111111111,4.21111111111111,1.0,4.5724,327.0,0.5313000000000001,0.0,1005.85,Foggy in the morning.
31125,2009-06-25 21:00:00.000 +0200,Partly Cloudy,rain,17.77777777777778,17.77777777777778,0.97,4.83,210.0,11.27,0.0,1007.4,Partly cloudy throughout the day.
63193,2013-12-22 01:00:00.000 +0100,Foggy,snow,-1.6111111111111105,-6.094444444444444,1.0,13.6206,146.0,0.6762,0.0,1037.1,Foggy until morning.
50811,2011-11-24 04:00:00.000 +0100,Foggy,snow,-4.077777777777778,-6.516666666666668,0.92,5.618900000000001,29.0,1.5456,0.0,1035.51,Foggy until night.
23883,2008-05-28 04:00:00.000 +0200,Clear,rain,15.511111111111113,15.511111111111113,0.9,1.5295,40.0,9.982,0.0,1014.08,Partly cloudy starting in the evening.
92305,2016-06-19 04:00:00.000 +0200,Mostly Cloudy,rain,15.97222222222222,15.97222222222222,0.87,6.359500000000001,329.0,16.1,0.0,1015.36,Mostly cloudy throughout the day.
90644,2016-01-11 23:00:00.000 +0100,Mostly Cloudy,rain,10.716666666666663,10.716666666666663,0.93,28.2233,161.0,15.826300000000002,0.0,992.17,Foggy overnight.
